City,Country,Max Temp(F),Cloudiness,Humidity,Wind Speed,Latitude,Longitude,Date
Cururupu,BR,81.34,76,96,5.41,-1.82,-44.87,1553094946
Tahoua,NE,104.02,0,16,7.99,14.89,5.26,1553094947
Port-Gentil,GA,87.8,40,74,13.87,-0.72,8.78,1553090400
Eureka,US,48.99,90,93,3.36,40.8,-124.16,1553094929
Anqing,CN,61.81,44,90,2.51,30.51,117.04,1553094947
Kandi,BJ,105.37,8,23,4.63,11.13,2.93,1553094948
Rikitea,PF,78.28,32,100,23.09,-23.12,-134.97,1553094439
Hermanus,ZA,68.0,76,78,4.74,-34.42,19.24,1553094136
Bredasdorp,ZA,64.4,0,68,10.29,-34.53,20.04,1553094082
Deputatskiy,RU,-33.78,0,0,2.73,69.3,139.9,1553094460
Jamestown,AU,57.94,20,90,3.51,-33.21,138.6,1553094443
Busselton,AU,72.0,36,45,20.74,-33.64,115.35,1553094614
Okhotsk,RU,-0.12,0,100,3.96,59.36,143.24,1553094949
Kapaa,US,71.6,90,77,8.05,22.08,-159.32,1553094100
Pontivy,FR,57.2,75,67,3.36,48.06,-2.97,1553094941
Hobart,AU,63.0,75,88,3.36,-42.88,147.33,1553094439
Knysna,ZA,62.6,90,93,6.93,-34.04,23.05,1553090400
Vardo,US,48.99,1,42,6.93,39.62,-77.74,1553094943
Tura,IN,66.49,8,59,3.62,25.52,90.21,1553094769
Los Llanos de Aridane,ES,69.8,75,56,11.41,28.66,-17.92,1553094907
Qeshm,IR,73.4,0,73,11.41,26.96,56.27,1553092200
Itarema,BR,84.22,76,95,6.76,-2.92,-39.92,1553094951
Barrow,AR,61.9,64,71,14.47,-38.31,-60.23,1553094952
Tyazhinskiy,RU,17.8,8,81,3.62,56.11,88.52,1553094952
Asosa,ET,94.57,32,15,3.85,10.07,34.53,1553094952
Albany,US,46.0,1,33,13.87,42.65,-73.75,1553094841
Mataura,NZ,55.0,8,97,2.17,-46.19,168.86,1553094605
Grindavik,IS,32.0,75,80,33.33,63.84,-22.43,1553094097
East London,ZA,73.4,0,73,21.92,-33.02,27.91,1553090400
Mehamn,NO,30.2,0,73,23.04,71.03,27.85,1553089800
Yellowknife,CA,35.6,20,64,10.29,62.45,-114.38,1553094166
Klaksvik,FO,41.0,92,86,14.99,62.23,-6.59,1553093400
Povenets,RU,34.09,88,84,6.42,62.85,34.83,1553094954
Sabinas Hidalgo,MX,54.7,92,87,3.85,26.51,-100.18,1553094954
Arraial do Cabo,BR,84.2,40,79,14.99,-22.97,-42.02,1553090400
Saint Anthony,US,34.0,1,63,4.7,43.97,-111.68,1553094913
Mount Gambier,AU,60.8,90,93,8.05,-37.83,140.78,1553092200
Muravlenko,RU,25.0,68,84,19.06,63.79,74.5,1553094955
Apatou,SR,78.82,92,86,4.18,5.16,-54.34,1553094955
Bodden Town,KY,81.0,20,74,10.29,19.28,-81.25,1553094004
Victoria,BN,82.4,75,83,11.41,5.28,115.24,1553092200
Archidona,EC,75.2,0,100,2.24,-0.91,-77.81,1553090400
Naze,NG,95.0,75,56,8.05,5.43,7.07,1553090400
Omboue,GA,83.77,64,100,12.57,-1.57,9.26,1553094957
Vila Franca do Campo,PT,60.8,40,67,8.05,37.72,-25.43,1553094845
Atuona,PF,81.7,92,100,15.48,-9.8,-139.03,1553094957
Shingu,JP,62.35,48,93,14.81,33.72,135.99,1553094958
Riyadh,SA,78.8,75,14,10.29,24.63,46.72,1553090400
Lebu,ET,74.32,0,16,9.66,8.96,38.73,1553094711
Yenotayevka,RU,46.24,0,51,7.31,47.24,47.04,1553094959
Cape Town,ZA,70.0,20,60,20.8,-33.93,18.42,1553094490
Vaini,IN,75.76,0,55,4.52,15.34,74.49,1553094959
Hailar,CN,15.28,0,30,9.78,49.2,119.7,1553094959
Carnarvon,ZA,81.34,0,16,8.21,-30.97,22.13,1553094960
Pittsburg,US,53.01,75,87,3.36,38.02,-121.89,1553094709
Lenina,UA,49.48,0,73,2.95,48.44,39.15,1553094960
Sao Filipe,CV,74.32,0,85,14.03,14.9,-24.5,1553094961
Letlhakane,BW,95.2,44,21,7.65,-21.42,25.59,1553094961
Soanierana Ivongo,MG,80.89,24,98,4.63,-16.92,49.59,1553094961
Erbaa,TR,50.0,40,76,6.93,40.67,36.56,1553093400
Ushuaia,AR,48.2,90,81,4.7,-54.81,-68.31,1553090400
Port Hedland,AU,86.0,20,74,6.93,-20.31,118.58,1553092200
Port Alfred,ZA,71.01,0,83,5.99,-33.59,26.89,1553094505
Sterling,US,48.0,90,36,8.05,39.0,-77.4,1553094677
Zhicheng,CN,61.27,0,28,13.02,35.04,112.59,1553094964
Faanui,PF,84.04,76,100,5.75,-16.48,-151.75,1553094731
Thompson,CA,32.0,75,87,8.05,55.74,-97.86,1553090400
Innisfail,CA,43.0,20,85,5.82,52.02,-113.95,1553094917
Khatanga,RU,11.5,80,82,8.99,71.98,102.47,1553094965
